Wind speed,Output power,Nacelle temperature,Generator speed,Pitch motor temperature 1,Pitch motor temperature 2,Pitch motor temperature 3,Pitch angle 1,Pitch angle 2,Pitch angle 3,Pitch torque 1,Pitch torque 2,Pitch torque 3
4.68,449.8,2,1437.8,37,33,33,0,0,0,-9.32,-10.44,-8.24
4.76,422.6,4,1394.1,40,38,41,0,0,0,-5.7,-6.93,-10.24
4.76,447.8,0.4,1492.4,11,7,11,0,0,0,-9.06,-11.09,-9.28
4.78,405.3,3.6,1384.6,33,29,30,0,0,0,-9.25,-8.78,-7.14
4.81,486.7,3.9,1531.5,41,40,41,0,0.01,0.01,-8.31,-6.99,-9.48
4.86,402.2,2.4,1407.5,19,16,20,0,0,0,-9.53,-7.45,-9.69
4.86,427.5,2.3,1428,31,29,30,0,0,0,-9.61,-7.31,-8.45
4.93,416.5,2,1422.3,30,27,31,0,0,0,-9.15,-6.13,-9.38
4.9,413.6,0.7,1403,31,27,27,0,0,0,-12.14,-8.86,-9.43
5.01,450,2.9,1450.5,33,30,33,0,0,0,-9.77,-8.77,-9.63
5,467.3,3.7,1407.1,29,26,30,0,0,0,-8.04,-8.28,-8.61
5.01,453.8,4.1,1443.8,31,29,30,0,0,0,-12.87,-8.34,-11.25
5.11,425.1,4.4,1413.5,11,9,13,0,0,0,-6.42,-7.05,-9.13
5.13,460,1.5,1459.5,31,29,33,0,0,0,-10.34,-9.47,-8.6
5.1,422.1,1.8,1404.4,21,17,21,0,0,0,-8.65,-8.29,-8.58
5.16,450.8,4.6,1447.7,21,19,20,0,0,0,-8.6,-9.86,-10.19
5.12,413.4,3.6,1413.5,21,19,21,0,0,0,-10.68,-6.35,-9.32
5.15,496.6,3,1485.1,31,29,30,0,0,0,-9.23,-11.46,-10.76
5.11,477.9,3.3,1482,31,29,30,0,0,0,-10.88,-6.98,-11.39
5.2,421.4,0,1431.5,19,16,19,0,0,0,-7.35,-5.72,-8.72
5.21,472.6,4.1,1468.5,38,36,38,0,0,0,-6.99,-8.2,-9.87
5.26,479.8,2.5,1463,38,36,40,0,0,0,-11.09,-8.85,-10.47
5.27,413.3,2.6,1392.4,36,33,37,0,0,0,-6.53,-7.35,-9.03
5.29,416.5,1.7,1406.2,31,29,33,0,0,0,-6.34,-7.29,-9.04
5.27,465.5,1.4,1454,31,29,33,0,0,0,-6.85,-6.22,-10.31
5.29,422.8,2.4,1401.5,19,16,20,0,0,0,-9.12,-8.32,-9.47
5.21,488.9,3.6,1476,33,30,31,0,0,0,-11.53,-8.31,-9.5
5.25,468.8,3,1462.8,33,30,30,0,0,0,-10,-8.06,-10.73
5.22,421.6,1.7,1407.8,34,30,30,0,0,0,-10.18,-9.29,-7.11
5.36,403.9,0.5,1390.9,16,14,17,0,0,0,-7.06,-5.84,-8.13
5.37,430.8,0.6,1421,21,17,20,0,0,0,-8.76,-8.5,-7.68
5.3,411.7,1.5,1399.4,21,17,21,0,0,0,-7.94,-5.12,-9.77
5.31,424.5,3.2,1416.5,23,20,23,0,0,0,-8.59,-6.1,-9.94
5.38,407.8,1.6,1392.3,31,27,27,0,0,0,-12.04,-7.72,-9.12
5.47,413.5,0.6,1408.3,21,17,20,0,0,0,-8.44,-8.79,-8.79
5.43,404.5,0.4,1392.5,21,17,21,0,0,0,-9.5,-7.81,-9.13
5.43,404.5,0.4,1392.5,21,17,21,0,0,0,-9.5,-7.81,-9.13
5.43,404.5,0.4,1392.5,21,17,21,0,0,0,-9.5,-7.81,-9.13
5.43,425.1,4.4,1433.4,37,36,38,0,0,0,-7.17,-7.9,-10.21
5.42,484.3,2.9,1465.1,33,30,33,0,0,0,-8.17,-8.47,-9.44
5.42,467,3.3,1453,30,27,31,0,0,0,-6.64,-8.52,-10.57
5.42,467,3.3,1453,30,27,31,0,0,0,-6.64,-8.52,-10.57
5.46,489.8,2,1486.2,11,7,11,0,0,0,-8.14,-9.72,-5.99
5.47,431.6,2.4,1428.5,13,10,14,0,0,0,-8.71,-8.13,-8.54
5.45,416.8,2.4,1407.5,20,17,21,0,0,0,-8.67,-8.67,-9.61
5.46,411.5,3.3,1398,23,20,21,0,0,0,-8.13,-8.72,-8.18
5.4,427.7,3.3,1421.5,23,20,23,0,0,0,-8.38,-9.57,-8.38
5.49,492.1,1.7,1485.3,34,30,30,0,0,0,-12.61,-9.06,-10.68
5.46,464.4,1.9,1456.2,34,30,30,0,0,0,-12.89,-8.72,-9.72
5.4,439,1.8,1431.5,33,29,29,0,0,0,-9.23,-10.88,-9.25
5.4,420.4,1.4,1416.8,31,27,27,0,0,0,-8.87,-10.6,-7.04
